"Industry","Symbol"
"Financial Services","360ONE.NS"
"Diversified","3MINDIA.NS"
"Capital Goods","ABB.NS"
"Construction Materials","ACC.NS"
"Capital Goods","AIAENG.NS"
"Capital Goods","APLAPOLLO.NS"
"Financial Services","AUBANK.NS"
"Financial Services","AADHARHFC.NS"
"Chemicals","AARTIIND.NS"
"Financial Services","AAVAS.NS"
"Healthcare","ABBOTINDIA.NS"
"Capital Goods","ACE.NS"
"Power","ADANIENSOL.NS"
"Metals & Mining","ADANIENT.NS"
"Power","ADANIGREEN.NS"
"Services","ADANIPORTS.NS"
"Power","ADANIPOWER.NS"
"Oil Gas & Consumable Fuels","ATGL.NS"
"Fast Moving Consumer Goods","AWL.NS"
"Financial Services","ABCAPITAL.NS"
"Consumer Services","ABFRL.NS"
"Forest Materials","ABREL.NS"
"Financial Services","ABSLAMC.NS"
"Oil Gas & Consumable Fuels","AEGISLOG.NS"
"Information Technology","AFFLE.NS"
"Healthcare","AJANTPHARM.NS"
"Healthcare","AKUMS.NS"
"Healthcare","APLLTD.NS"
"Healthcare","ALKEM.NS"
"Chemicals","ALKYLAMINE.NS"
"Textiles","ALOKINDS.NS"
"Automobile and Auto Components","ARE&M.NS"
"Consumer Durables","AMBER.NS"
"Construction Materials","AMBUJACEM.NS"
"Financial Services","ANANDRATHI.NS"
"Realty","ANANTRAJ.NS"
"Financial Services","ANGELONE.NS"
"Capital Goods","APARINDS.NS"
"Healthcare","APOLLOHOSP.NS"
"Automobile and Auto Components","APOLLOTYRE.NS"
"Financial Services","APTUS.NS"
"Chemicals","ACI.NS"
"Automobile and Auto Components","ASAHIINDIA.NS"
"Capital Goods","ASHOKLEY.NS"
"Consumer Durables","ASIANPAINT.NS"
"Healthcare","ASTERDM.NS"
"Healthcare","ASTRAZEN.NS"
"Capital Goods","ASTRAL.NS"
"Chemicals","ATUL.NS"
"Healthcare","AUROPHARMA.NS"
"Fast Moving Consumer Goods","AVANTIFEED.NS"
"Consumer Services","DMART.NS"
"Financial Services","AXISBANK.NS"
"Chemicals","BASF.NS"
"Capital Goods","BEML.NS"
"Consumer Services","BLS.NS"
"Financial Services","BSE.NS"
"Automobile and Auto Components","BAJAJ-AUTO.NS"
"Financial Services","BAJFINANCE.NS"
"Financial Services","BAJAJFINSV.NS"
"Financial Services","BAJAJHLDNG.NS"
"Chemicals","BALAMINES.NS"
"Automobile and Auto Components","BALKRISIND.NS"
"Fast Moving Consumer Goods","BALRAMCHIN.NS"
"Financial Services","BANDHANBNK.NS"
"Financial Services","BANKBARODA.NS"
"Financial Services","BANKINDIA.NS"
"Financial Services","MAHABANK.NS"
"Consumer Durables","BATAINDIA.NS"
"Chemicals","BAYERCROP.NS"
"Consumer Durables","BERGEPAINT.NS"
"Capital Goods","BDL.NS"
"Capital Goods","BEL.NS"
"Automobile and Auto Components","BHARATFORG.NS"
"Capital Goods","BHEL.NS"
"Oil Gas & Consumable Fuels","BPCL.NS"
"Telecommunication","BHARTIARTL.NS"
"Telecommunication","BHARTIHEXA.NS"
"Fast Moving Consumer Goods","BIKAJI.NS"
"Healthcare","BIOCON.NS"
"Construction Materials","BIRLACORPN.NS"
"Information Technology","BSOFT.NS"
"Services","BLUEDART.NS"
"Consumer Durables","BLUESTARCO.NS"
"Fast Moving Consumer Goods","BBTC.NS"
"Automobile and Auto Components","BOSCHLTD.NS"
"Realty","BRIGADE.NS"
"Fast Moving Consumer Goods","BRITANNIA.NS"
"Information Technology","MAPMYINDIA.NS"
"Fast Moving Consumer Goods","CCL.NS"
"Power","CESC.NS"
"Capital Goods","CGPOWER.NS"
"Automobile and Auto Components","CIEINDIA.NS"
"Financial Services","CRISIL.NS"
"Consumer Durables","CAMPUS.NS"
"Financial Services","CANFINHOME.NS"
"Financial Services","CANBK.NS"
"Healthcare","CAPLIPOINT.NS"
"Financial Services","CGCL.NS"
"Capital Goods","CARBORUNIV.NS"
